id,code_INSEE,commune,surface_parcourue_m2,annee,mois,jour,heure,nature_inc_prim,nature_inc_sec,latitude,longitude,altitude_med
1,43192,Saint-Haon,72000,2012,Feb,28,13,Involontaire,particulier,44.8548,3.7554,1150.0
2,15095,Laroquevieille,150000,2012,Feb,29,13,Involontaire,travaux,45.0283,2.5257,940.0
3,15205,Saint-Paul-de-Salers,300000,2012,Mar,2,13,Involontaire,particulier,45.1374,2.5504,940.0
4,15187,Saint-Flour,70000,2012,Mar,2,13,Involontaire,particulier,45.0251,3.073,975.0
5,15029,Cassaniouze,80000,2012,Mar,8,11,Involontaire,particulier,44.6761,2.3822,439.0
6,15229,Soulages,50000,2012,Mar,14,19,Accidentelle,NA,45.0897,3.2714,805.0
7,12099,Fayet,75000,2012,Mar,1,16,Involontaire,particulier,43.8058,2.9703,510.0
8,12240,Saint-Parthem,75000,2012,Mar,2,14,Involontaire,particulier,44.6348,2.2908,260.0
9,15038,Champs-sur-Tarentaine-Marchal,180000,2012,Mar,16,13,Malveillance,NA,45.4043,2.6053,655.0
10,15015,Auzers,50000,2012,Mar,17,8,Accidentelle,NA,45.2732,2.4681,910.0
11,38138,Cr̩mieu,50000,2012,Mar,2,16,Malveillance,NA,45.7314,5.2635,250.0
12,58003,Alligny-en-Morvan,70000,2012,Mar,27,21,Involontaire,travaux,47.2102,4.1674,600.0
13,12096,Espalion,50000,2012,Mar,23,19,Involontaire,particulier,44.5191,2.7624,359.0
14,12147,Montagnol,50000,2012,Mar,14,15,Involontaire,particulier,43.828,3.0212,510.0
15,15166,Roum̩goux,50000,2012,Mar,28,13,Involontaire,travaux,44.8611,2.1872,705.0
16,15083,Jussac,60000,2012,Mar,29,15,Involontaire,travaux,44.997,2.4189,630.0
17,38523,Varacieux,50000,2012,Mar,26,11,Malveillance,NA,45.2277,5.3409,630.0
18,12130,Livinhac-le-Haut,650000,2012,Mar,28,12,Involontaire,particulier,44.5993,2.2118,185.0
19,15207,Saint-Poncy,100000,2012,Apr,2,15,Involontaire,travaux,45.1691,3.1914,805.0
20,97411,Saint-Denis,150000,2012,Sep,16,11,Malveillance,NA,-20.9434,55.4444,1069.0
21,97411,Saint-Denis,85000,2012,Oct,27,11,Malveillance,NA,-20.9434,55.4444,1069.0
22,40184,Mimizan,162907,2012,Aug,16,15,Accidentelle,NA,44.1995,-1.2322,26.0
23,40040,Beylongue,153000,2012,Feb,28,14,Involontaire,particulier,43.9201,-0.82,80.0
24,33329,Pomp̩jac,119800,2012,Sep,20,16,Involontaire,travaux,44.3986,-0.2997,96.0
25,16384,Touv̩rac,50000,2012,Jun,25,2,Accidentelle,NA,45.3748,-0.2001,95.0
26,34235,Rosis,74000,2012,Feb,22,21,Malveillance,NA,43.6295,2.9989,900.0
27,34178,Murviel-l̬s-B̩ziers,83300,2012,Feb,20,15,Malveillance,NA,43.4597,3.1362,140.0
28,2B251,Prunelli-di-Fiumorbo,200000,2012,Jan,6,12,Malveillance,NA,42.0069,9.3749,82.0
29,4093,Gigors,182000,2012,Feb,19,13,Involontaire,particulier,44.4243,6.1422,1020.0
30,66072,Estavar,50000,2012,Feb,29,15,Involontaire,travaux,42.4764,2.0121,1600.0
31,30090,Concoules,102800,2012,Feb,9,12,Involontaire,particulier,44.3684,3.9356,470.0
32,7194,Rochessauve,86000,2012,Mar,2,17,Involontaire,travaux,44.6779,4.6063,216.0
33,7114,Labatie-d'Andaure,120000,2012,Mar,3,10,Involontaire,travaux,45.0344,4.493,1055.0
34,7263,Saint-Laurent-sous-Coiron,166000,2012,Mar,3,14,Involontaire,travaux,44.6726,4.4838,500.0
35,34316,Usclas-du-Bosc,55000,2012,Feb,23,15,Involontaire,travaux,43.7249,3.3967,110.0
36,34016,Aumelas,150000,2012,Mar,8,7,Malveillance,NA,43.5768,3.6056,50.0
37,34286,Saint-Privat,100000,2012,Mar,10,14,Malveillance,NA,43.7535,3.4285,620.0
38,34341,Villeveyrac,101100,2012,Mar,9,15,Involontaire,travaux,43.4956,3.5931,34.0
39,4229,Valbelle,68000,2012,Feb,23,12,Involontaire,travaux,44.1398,5.8753,520.0
40,11251,Montlaur,64200,2012,Feb,29,13,Involontaire,travaux,43.1283,2.5498,240.0
41,34143,Loupian,320000,2012,Mar,8,14,Accidentelle,NA,43.4509,3.6279,73.0
42,34286,Saint-Privat,190200,2012,Mar,10,14,Malveillance,NA,43.7535,3.4285,620.0
43,7202,Sabli̬res,450000,2012,Mar,15,15,Involontaire,particulier,44.5451,4.0675,400.0
44,7136,Laveyrune,76000,2012,Mar,15,17,Involontaire,travaux,44.6174,3.9255,912.0
