id,code_INSEE,commune,surface_parcourue_m2,annee,mois,jour,heure,nature_inc_prim,nature_inc_sec,latitude,longitude,altitude_med
264,33300,Naujac-sur-Mer,190000,2015,Jul,25,16,Malveillance,NA,45.2596,-1.0643,14.0
265,33422,Saint-Jean-d'Illac,67000,2015,Apr,25,9,Accidentelle,NA,44.7973,-0.8156,60.0
266,33238,L̩ognan,70000,2015,Apr,11,6,Accidentelle,NA,44.7236,-0.6172,65.0
267,33229,Lanton,50000,2015,Jul,2,7,Naturelle,NA,44.7719,-0.9799,7.0
268,33104,Castelnau-de-M̩doc,680000,2015,Mar,17,16,Accidentelle,NA,45.0033,-0.8162,20.0
269,40332,Ychoux,90000,2015,Jul,28,14,Involontaire,particulier,44.3545,-0.9643,66.0
270,40167,Luxey,220000,2015,Apr,30,16,Involontaire,travaux,44.2382,-0.5061,89.0
271,40149,Lencouacq,58000,2015,Apr,15,12,Involontaire,particulier,44.1482,-0.3856,127.0
272,41043,Ch̢tillon-sur-Cher,70000,2015,Jul,1,14,Naturelle,NA,47.2895,1.4812,92.0
273,41130,Maves,110000,2015,Jul,16,16,Naturelle,NA,47.7429,1.3572,126.0
274,41186,Rahart,50000,2015,Jul,22,14,Naturelle,NA,47.8737,1.0613,115.0
275,41087,Fontaine-les-Coteaux,80000,2015,Jul,10,12,Naturelle,NA,47.7976,0.8316,73.0
276,42326,V̩ranne,230000,2015,Aug,31,13,Malveillance,NA,45.3724,4.634,1370.0
277,2B123,Ghisonaccia,103518,2015,Jun,3,14,Involontaire,particulier,42.0454,9.4192,61.0
278,11170,Gruissan,105836,2015,Jun,7,15,Involontaire,particulier,43.1042,3.0871,0.0
279,2B320,Tallone,322164,2015,Jun,14,14,Malveillance,NA,42.1897,9.4697,78.0
280,34286,Saint-Privat,184500,2015,Jun,28,15,Involontaire,particulier,43.7535,3.4285,620.0
281,34319,Vailhan,710000,2015,Jul,2,11,Involontaire,particulier,43.558,3.2958,122.0
282,2B185,Oletta,230000,2015,Jul,1,11,Malveillance,NA,42.6451,9.3453,54.0
283,2B201,Pancheraccia,62321,2015,Jul,2,12,Involontaire,travaux,42.1891,9.4093,685.0
284,7323,Toulaud,151000,2015,Jul,7,2,Malveillance,NA,44.9009,4.7942,112.0
285,11315,Rieux-Minervois,85400,2015,Jun,27,10,Malveillance,NA,43.2667,2.5906,125.0
286,11386,Talairan,54934,2015,Jul,8,4,Malveillance,NA,43.0204,2.6654,320.0
287,2B143,Linguizzetta,100350,2015,Jul,7,13,Malveillance,NA,42.2144,9.5015,78.0
288,11009,Alzonne,163000,2015,Jul,10,15,Involontaire,travaux,43.2646,2.1665,134.0
