id,code_INSEE,tens_vap_med,surface_parcourue_m2
1125,2B341,9.7,50000
1126,2B352,12.6,81000
1127,83124,10.1,150000
1128,30319,10.75,772400
1129,66164,11.4,55000
1130,66041,11.4,66300
1131,66108,10.95,661500
1132,30169,11.0,138303
1133,34295,12.0,121971
1134,34285,11.4,116264
1135,7040,9.4,65000
1136,48146,8.2,370000
1137,48022,8.8,120000
1138,4179,8.7,210000
1139,2B079,11.4,148000
1140,2B341,9.7,300900
1141,2B007,6.2,219000
1142,2B314,8.9,300000
1143,34329,11.8,138560
1144,34221,10.95,154863
1145,34230,9.9,291900
1146,34162,11.4,130122
1147,6077,7.8,63000
1148,48148,10.1,150000
1149,66193,9.2,973700
1150,7330,10.8,732400
1151,7134,10.1,713800
1152,7077,9.9,180000
1153,83076,10.05,343300
1154,66214,11.8,50000
1155,34318,10.1,321000
1156,4086,7.0,97000
1157,4209,9.1,62300
1158,48028,8.8,290000
1159,34087,11.9,69233
1160,34209,11.8,115995
1161,48015,9.7,100000
1162,6002,7.3,120000
1163,2A099,9.4,51000
1164,7085,9.4,121000
1165,7129,9.4,105000
1166,30295,10.75,512700
1167,34235,9.6,71168
1168,34019,10.5,362900
1169,66141,11.4,58000
1170,13112,10.8,95400
1171,13056,12.4,83100
1172,13098,12.0,248600
1173,13106,11.5,349990
1174,13019,10.8,50000
1175,13097,11.1,948280
1176,4039,7.75,289400
1177,7161,9.7,248000
1178,7028,10.5,80000
1179,48050,8.8,60000
1180,11095,11.7,285519
1181,6163,9.1,68800
1182,6104,8.7,71000
1183,2B185,12.3,80000
1184,66046,10.8,811900
1185,66148,12.3,64000
1186,2B292,10.9,55000
1187,2B292,10.9,102070
1188,2B055,12.3,177900
1189,26367,10.5,200000
1190,11132,11.8,54800
1191,7315,9.5,50000
1192,84091,11.1,264600
1193,30337,11.1,54745
1194,2A031,9.4,50000
1195,4090,8.1,221200
1196,4061,6.5,105700
1197,2A024,9.45,387700
1198,6153,4.6,70000
1199,7226,8.1,94600
1200,7200,7.9,134800
1201,50041,11.4,390000
1202,50041,11.4,60000
