id,code_INSEE,commune,surface_parcourue_m2,annee,mois,jour,heure,nature_inc_prim,nature_inc_sec,RR_med,NBJRR1_med,NBJRR5_med,NBJRR10_med,Tmin_med,Tmax_med,Tens_vap_med,Force_vent_med,Insolation_med,Rayonnement_med
284,7323,Toulaud,151000,2015,Jul,7,2,Malveillance,NA,65.45,7.0,3.0,2.0,9.5,20.2,11.4,1.7,3142.0,12768.0
285,11315,Rieux-Minervois,85400,2015,Jun,27,10,Malveillance,NA,30.5,4.0,2.0,1.0,10.4,19.5,11.2,4.5,3965.0,14346.5
286,11386,Talairan,54934,2015,Jul,8,4,Malveillance,NA,34.4,6.0,2.0,1.0,9.9,19.4,10.5,4.1,3389.0,14179.0
287,2B143,Linguizzetta,100350,2015,Jul,7,13,Malveillance,NA,41.0,5.0,2.0,1.0,13.5,19.9,13.3,3.6,4020.0,14625.0
288,11009,Alzonne,163000,2015,Jul,10,15,Involontaire,travaux,49.75,8.0,3.0,1.0,9.7,18.7,11.4,4.7,3476.0,13610.0
289,7258,Saint-Julien-Vocance,50000,2015,Jul,14,22,Malveillance,NA,72.0,9.0,4.0,2.0,3.4,11.3,8.3,0.0,0.0,0.0
290,84129,Sorgues,250000,2015,Jul,12,18,Malveillance,NA,51.0,5.0,3.0,2.0,9.3,20.8,11.2,3.9,4377.0,14986.0
291,2B079,Castello-di-Rostino,125400,2015,Jul,10,12,Malveillance,NA,42.3,5.0,2.0,1.0,9.7,18.3,11.4,2.6,4212.0,14636.0
292,11259,Moussoulens,299200,2015,Jul,13,14,Involontaire,particulier,60.8,8.0,4.0,2.0,9.7,18.7,11.4,4.7,3476.0,13610.0
293,2B059,Canavaggia,52292,2015,Jul,19,16,Malveillance,NA,26.6,4.0,2.0,1.0,7.9,21.6,11.4,2.6,4052.0,14420.0
294,26318,Saint-May,60000,2015,Jul,11,14,Involontaire,particulier,52.5,6.0,3.0,2.0,4.9,18.55,9.3,1.8,3691.0,13659.0
295,34103,Font̬s,86200,2015,Jul,12,2,Malveillance,NA,48.7,3.0,2.0,1.0,8.9,19.7,11.0,2.7,4299.0,14539.5
296,34003,Agde,70000,2015,Jul,19,18,Involontaire,particulier,30.4,4.0,2.0,1.0,11.6,19.55,12.9,3.2,4530.5,15158.5
297,34019,Av̬ne,60150,2015,Jul,20,12,Involontaire,travaux,76.95,7.5,4.0,2.0,7.9,18.4,10.5,3.2,0.0,0.0
298,34181,Neffi̬s,92500,2015,Feb,23,16,Malveillance,NA,40.25,5.0,2.0,1.0,10.35,20.85,11.0,2.7,4299.0,14539.5
299,2B095,Corscia,113588,2015,Jul,28,1,Malveillance,NA,57.3,7.0,3.0,2.0,6.55,17.55,9.2,4.0,4052.0,14420.0
300,2B290,Speloncato,488130,2015,Jul,25,22,Malveillance,NA,39.3,5.0,3.0,1.0,8.75,19.0,12.6,4.7,4352.5,15088.5
301,2B185,Oletta,78800,2015,Jul,27,11,Malveillance,NA,41.15,5.0,2.0,1.0,10.6,20.4,12.3,2.3,4212.0,14636.0
302,2B361,Zilia,322405,2015,Jul,30,10,Accidentelle,NA,55.4,6.0,3.0,2.0,10.7,20.3,11.9,3.7,4352.5,15088.5
303,34237,Roujan,78000,2015,Jul,25,12,Accidentelle,NA,34.0,5.0,2.0,1.0,8.9,19.7,11.0,2.7,4299.0,14539.5
304,30231,Saint-Andr̩-de-Valborgne,934600,2015,Jul,30,15,Malveillance,NA,102.0,7.5,5.0,3.0,4.6,12.9,8.5,6.4,0.0,0.0
305,48122,Qu̩zac,56500,2015,Jul,1,8,Involontaire,travaux,72.0,8.0,4.0,2.0,8.2,20.2,8.8,4.2,3282.0,11861.5
306,48074,Hures-la-Parade,161000,2015,Jul,31,15,Involontaire,travaux,67.7,9.0,4.0,2.0,4.6,13.8,8.9,2.4,0.0,0.0
307,34242,Saint-Bauzille-de-Montmel,590000,2015,Aug,8,14,Accidentelle,NA,62.5,5.0,3.0,2.0,8.0,19.8,10.9,2.2,4380.0,14835.5
308,83061,Fr̩jus,167300,2015,Jul,27,13,Malveillance,NA,61.8,4.0,2.5,2.0,10.0,17.1,10.35,3.2,4468.0,14991.0
309,66076,Felluns,50000,2015,Jun,25,16,Involontaire,particulier,40.2,6.0,3.0,1.0,9.7,19.4,10.8,4.6,3286.0,13667.5
310,66205,Tautavel,80000,2015,Jul,14,16,Malveillance,NA,31.7,3.0,2.0,1.0,8.55,17.65,10.5,2.1,3286.0,13667.5
311,66215,Tr̩villach,350000,2015,Jul,20,16,Malveillance,NA,29.65,5.0,2.0,1.0,7.85,20.55,10.25,1.8,3286.0,13667.5
312,66058,Corneilla-la-Rivi̬re,270000,2015,Jul,21,11,Accidentelle,NA,32.35,5.0,2.0,1.0,8.8,19.5,10.95,2.6,2808.0,11152.0
313,66136,Perpignan,50000,2015,Jul,28,17,Malveillance,NA,29.25,4.0,2.0,1.0,10.8,19.45,11.4,4.5,4099.0,14633.5
314,66205,Tautavel,60000,2015,Jul,29,17,Malveillance,NA,31.7,3.0,2.0,1.0,8.55,17.65,10.5,2.1,3286.0,13667.5
315,84147,Villelaure,70000,2015,Aug,6,19,Involontaire,particulier,45.0,3.0,2.0,2.0,6.6,19.75,10.7,2.4,4650.0,15336.0
316,2B080,Castifao,56360,2015,Aug,8,15,Malveillance,NA,39.7,6.0,3.0,1.0,9.1,18.1,10.9,2.6,0.0,0.0
317,34302,Siran,185000,2015,Aug,12,13,Malveillance,NA,36.4,6.0,2.0,1.0,10.4,19.5,12.7,4.2,3965.0,14346.5
318,66030,Calce,82600,2015,Aug,19,14,Malveillance,NA,31.7,3.0,2.0,1.0,8.8,19.5,10.95,2.6,2808.0,11152.0
319,13005,Aubagne,92700,2015,Aug,17,16,Malveillance,NA,52.6,9.0,3.0,1.0,8.6,20.7,11.2,2.5,0.0,0.0
320,2A038,Bilia,50400,2015,Aug,7,13,Malveillance,NA,38.8,5.0,2.0,1.0,11.15,20.6,12.4,2.0,4333.0,15127.0
321,66215,Tr̩villach,200000,2015,Aug,20,13,Malveillance,NA,29.65,5.0,2.0,1.0,7.85,20.55,10.25,1.8,3286.0,13667.5
322,34020,Azillanet,61000,2015,Aug,19,18,Malveillance,NA,38.1,6.0,2.0,1.0,9.65,19.5,12.7,3.9,3965.0,14346.5
323,2B341,Venaco,480000,2015,Aug,17,14,Involontaire,particulier,132.1,8.0,7.0,4.0,7.7,16.3,9.7,2.9,4232.0,15515.0
324,66008,Argel̬s-sur-Mer,141500,2015,Jun,26,18,Accidentelle,NA,33.2,3.0,2.0,1.0,12.3,17.95,12.3,8.0,4055.0,14416.0
325,11198,Laure-Minervois,58800,2015,Aug,18,19,Accidentelle,NA,30.5,4.0,2.0,1.0,9.6,17.5,11.2,4.5,3476.0,13610.0
326,11022,Azille,250700,2015,Aug,26,15,Malveillance,NA,36.4,6.0,2.0,1.0,10.4,19.5,12.7,5.6,3965.0,14346.5
327,66127,Opoul-P̩rillos,80000,2015,Sep,1,23,Involontaire,particulier,33.4,5.0,2.0,1.0,9.9,19.8,11.5,3.5,4099.0,14633.5
328,2B355,Volpajola,194784,2015,Sep,5,13,Malveillance,NA,46.5,5.0,3.0,1.0,9.7,18.3,12.8,2.7,4212.0,14636.0
329,11016,Arquettes-en-Val,187100,2015,Sep,11,12,Malveillance,NA,56.8,7.0,3.0,2.0,9.7,18.5,11.7,4.9,3389.0,14179.0
330,66014,Baixas,80000,2015,Mar,13,12,Involontaire,travaux,29.25,4.0,2.0,1.0,10.8,19.45,11.4,4.5,4099.0,14633.5
331,30009,Alzon,90800,2015,Mar,7,7,Involontaire,travaux,85.7,6.0,5.0,3.0,5.9,16.6,9.55,3.0,0.0,0.0
332,30009,Alzon,61500,2015,Mar,9,19,Involontaire,travaux,85.7,6.0,5.0,3.0,5.9,16.6,9.55,3.0,0.0,0.0
333,2B096,Corte,115000,2015,Sep,26,16,Malveillance,NA,277.0,11.0,11.0,8.0,5.1,10.3,4.9,3.3,4052.0,14420.0
334,11018,Arzens,52900,2015,Sep,25,16,Malveillance,NA,50.45,8.0,3.0,1.0,9.2,17.9,11.4,4.7,3476.0,13610.0
335,6162,La Brigue,217500,2015,Mar,12,9,Involontaire,travaux,67.0,6.0,3.0,2.0,7.6,19.1,9.1,1.5,0.0,0.0
336,11285,Peyriac-de-Mer,55873,2015,Oct,16,14,Accidentelle,NA,30.75,4.0,2.0,1.0,10.7,19.1,12.1,5.3,3965.0,14346.5
337,11276,Paziols,50802,2015,Oct,16,15,Involontaire,travaux,31.7,3.0,2.0,1.0,8.55,17.65,10.5,2.1,3286.0,13667.5
338,34339,Villespassans,121500,2015,Jan,11,14,Malveillance,NA,38.2,5.0,2.0,1.0,9.9,19.9,11.0,3.9,0.0,0.0
339,7112,Labastide-sur-B̩sorgues,380000,2015,Nov,20,13,Involontaire,particulier,105.1,9.0,5.0,3.0,6.85,18.2,9.6,5.6,0.0,0.0
340,2A031,Bastelica,339000,2015,Aug,30,12,Malveillance,NA,120.5,7.0,5.0,4.0,8.4,16.5,9.4,2.3,0.0,0.0
341,48116,Le Pont-de-Montvert,648000,2015,Mar,11,12,Involontaire,travaux,57.5,5.0,3.0,2.0,3.1,13.55,8.8,4.2,0.0,0.0
342,48022,B̩dou̬s,138000,2015,Mar,9,13,Involontaire,travaux,72.0,8.0,4.0,2.0,8.2,20.2,8.8,4.2,3282.0,11861.5
343,4194,Saint-Pierre,204800,2015,Apr,1,12,Involontaire,particulier,64.85,6.0,3.0,2.0,7.3,20.0,10.1,1.0,4156.5,14931.0
344,6074,Lantosque,178700,2015,Apr,2,12,Malveillance,NA,63.4,5.0,3.0,2.0,6.9,19.8,7.8,2.3,0.0,0.0
345,6103,Roquebilli̬re,387400,2015,Apr,3,17,Malveillance,NA,72.0,6.0,3.0,2.0,5.1,17.6,7.9,2.3,0.0,0.0
346,7286,Saint-Pierreville,300000,2015,Apr,10,11,Involontaire,travaux,86.5,7.0,4.0,3.0,6.6,15.2,9.15,2.6,3297.0,12155.0
347,2B337,Valle-di-Rostino,53361,2015,Apr,13,13,Involontaire,travaux,38.75,5.0,2.0,1.0,16.95,33.65,11.4,2.6,4052.0,14420.0
348,6074,Lantosque,73100,2015,Jan,4,12,Malveillance,NA,63.4,5.0,3.0,2.0,6.9,19.8,7.8,2.3,0.0,0.0
349,6074,Lantosque,82100,2015,Jan,12,18,Malveillance,NA,63.4,5.0,3.0,2.0,6.9,19.8,7.8,2.3,0.0,0.0
350,6132,Saorge,89200,2015,Apr,11,14,Malveillance,NA,70.6,6.5,4.0,2.0,8.5,19.8,10.5,1.5,0.0,0.0
351,6023,Breil-sur-Roya,59500,2015,Apr,11,15,Malveillance,NA,61.15,6.0,3.0,2.0,8.5,19.8,10.5,1.5,0.0,0.0
