id,code_INSEE,commune,surface_parcourue_m2,annee,mois,jour,heure,nature_inc_prim,nature_inc_sec,RR_med,NBJRR1_med,NBJRR5_med,NBJRR10_med,Tmin_med,Tmax_med,Tens_vap_med,Force_vent_med,Insolation_med,Rayonnement_med
1,43192,Saint-Haon,72000,2012,Feb,28,13,Involontaire,particulier,43.15,7.0,1.5,1.0,6.9,16.45,8.1,4.3,3342.0,12824.0
2,15095,Laroquevieille,150000,2012,Feb,29,13,Involontaire,travaux,153.8,13.0,8.0,5.0,4.8,15.55,9.4,2.8,3464.0,12519.0
3,15205,Saint-Paul-de-Salers,300000,2012,Mar,2,13,Involontaire,particulier,153.8,13.0,8.0,5.0,4.8,15.55,7.6,4.4,3464.0,12519.0
4,15187,Saint-Flour,70000,2012,Mar,2,13,Involontaire,particulier,55.7,9.0,3.0,2.0,3.8,13.5,8.7,2.6,3336.0,12135.0
5,15029,Cassaniouze,80000,2012,Mar,8,11,Involontaire,particulier,105.6,11.0,6.0,3.0,8.1,18.4,9.65,3.4,3345.0,11451.0
6,15229,Soulages,50000,2012,Mar,14,19,Accidentelle,NA,52.0,8.0,3.0,1.0,3.7,13.8,8.3,2.1,3336.0,12135.0
7,12099,Fayet,75000,2012,Mar,1,16,Involontaire,particulier,64.5,9.0,4.0,2.0,7.5,14.8,10.6,3.3,3138.0,12100.0
8,12240,Saint-Parthem,75000,2012,Mar,2,14,Involontaire,particulier,78.45,10.0,5.0,3.0,3.7,15.0,9.65,3.4,3345.0,11451.0
9,15038,Champs-sur-Tarentaine-Marchal,180000,2012,Mar,16,13,Malveillance,NA,65.5,10.0,5.5,2.0,5.5,14.8,7.3,4.7,3058.0,11646.0
10,15015,Auzers,50000,2012,Mar,17,8,Accidentelle,NA,90.7,11.0,6.0,3.0,5.9,15.45,9.4,2.3,0.0,0.0
11,38138,Cr̩mieu,50000,2012,Mar,2,16,Malveillance,NA,66.5,9.0,4.0,2.0,8.35,17.0,10.2,2.9,2946.0,11810.0
12,58003,Alligny-en-Morvan,70000,2012,Mar,27,21,Involontaire,travaux,96.3,12.0,6.5,3.0,5.2,14.1,9.6,3.3,2951.0,11810.0
