id,code_INSEE,surface_parcourue_m2,Force_vent_med
223,2B283,304678.0,3.1
224,34302,195800.0,4.2
225,34116,70000.0,2.2
226,34074,230000.0,3.1
227,2B123,847798.0,3.1
228,11260,50700.0,4.1
229,34313,52000.0,3.55
230,2A048,61000.0,1.5
231,2A139,930000.0,3.1
232,2B079,174142.0,2.6
233,66108,200000.0,2.6
234,34226,130000.0,3.9
235,2A254,160000.0,2.2
236,2A004,109000.0,3.2
237,2B049,69664.0,3.7
238,2B287,98454.0,2.7
239,7210,300000.0,2.6
240,34225,58000.0,3.1
241,66072,100000.0,2.8
242,6132,78900.0,1.5
243,6013,77400.0,2.3
244,48172,172000.0,3.4
245,34045,75000.0,2.7
246,34190,77800.0,3.9
247,12094,60000.0,3.4
248,12226,50000.0,3.4
249,39086,50000.0,1.6
250,81004,110000.0,2.4
251,79280,208000.0,3.0
252,73019,190000.0,0.9
253,54305,120000.0,2.8
254,54490,270000.0,3.3
255,79168,140300.0,2.4
256,45092,110000.0,2.4
257,35152,60000.0,2.8
258,3004,281000.0,2.2
259,73211,150000.0,1.7
260,97417,164000.0,3.3
261,45032,310000.0,3.1
262,3006,50000.0,3.4
263,3217,91300.0,2.0
264,33300,190000.0,2.6
265,33422,67000.0,1.5
266,33238,70000.0,1.7
267,33229,50000.0,4.1
268,33104,680000.0,2.4
269,40332,90000.0,2.7
270,40167,220000.0,2.2
271,40149,58000.0,2.0
272,41043,70000.0,2.4
273,41130,110000.0,3.7
274,41186,50000.0,3.1
275,41087,80000.0,3.1
276,42326,230000.0,4.7
277,2B123,103518.0,3.1
278,11170,105836.0,5.3
279,2B320,322164.0,3.6
280,34286,184500.0,4.7
281,34319,710000.0,2.7
282,2B185,230000.0,2.3
283,2B201,62321.0,3.6
284,7323,151000.0,1.7
285,11315,85400.0,4.5
286,11386,54934.0,4.1
287,2B143,100350.0,3.6
288,11009,163000.0,4.7
289,7258,50000.0,0.0
290,84129,250000.0,3.9
291,2B079,125400.0,2.6
292,11259,299200.0,4.7
293,2B059,52292.0,2.6
294,26318,60000.0,1.8
295,34103,86200.0,2.7
296,34003,70000.0,3.2
297,34019,60150.0,3.2
298,34181,92500.0,2.7
299,2B095,113588.0,4.0
300,2B290,488130.0,4.7
301,2B185,78800.0,2.3
302,2B361,322405.0,3.7
303,34237,78000.0,2.7
304,30231,934600.0,6.4
305,48122,56500.0,4.2
306,48074,161000.0,2.4
307,34242,590000.0,2.2
308,83061,167300.0,3.2
309,66076,50000.0,4.6
310,66205,80000.0,2.1
311,66215,350000.0,1.8
312,66058,270000.0,2.6
313,66136,50000.0,4.5
314,66205,60000.0,2.1
315,84147,70000.0,2.4
316,2B080,56360.0,2.6
317,34302,185000.0,4.2
318,66030,82600.0,2.6
319,13005,92700.0,2.5
320,2A038,50400.0,2.0
321,66215,200000.0,1.8
322,34020,61000.0,3.9
323,2B341,480000.0,2.9
324,66008,141500.0,8.0
325,11198,58800.0,4.5
326,11022,250700.0,5.6
327,66127,80000.0,3.5
328,2B355,194784.0,2.7
329,11016,187100.0,4.9
330,66014,80000.0,4.5
331,30009,90800.0,3.0
332,30009,61500.0,3.0
333,2B096,115000.0,3.3
334,11018,52900.0,4.7
335,6162,217500.0,1.5
336,11285,55873.0,5.3
337,11276,50802.0,2.1
338,34339,121500.0,3.9
339,7112,380000.0,5.6
340,2A031,339000.0,2.3
341,48116,648000.0,4.2
342,48022,138000.0,4.2
343,4194,204800.0,1.0
344,6074,178700.0,2.3
345,6103,387400.0,2.3
346,7286,300000.0,2.6
347,2B337,53361.0,2.6
348,6074,73100.0,2.3
349,6074,82100.0,2.3
350,6132,89200.0,1.5
351,6023,59500.0,1.5
352,6103,102300.0,2.3
353,26113,73000.0,1.5
354,12163,200000.0,5.3
355,12082,70000.0,3.9
356,12076,50000.0,3.4
357,46183,220000.0,3.1
358,18219,93300.0,0.4
359,81066,800000.0,4.4
360,58081,80000.0,2.6
361,17038,104100.0,1.3
362,17074,52600.0,1.3
363,17110,220000.0,1.3
364,47234,50050.0,2.4
365,33273,80000.0,1.5
366,2B183,60000.0,4.3
367,2B281,200000.0,4.3
368,2B109,50000.0,2.3
369,6142,107161.0,1.7
370,48166,104100.0,4.2
371,48194,151100.0,3.3
372,84034,200000.0,3.0
373,6098,60324.0,2.4
374,6074,131743.0,2.3
375,2B159,83700.0,4.3
376,2B313,90000.0,3.6
377,34103,140300.0,2.7
378,34004,142600.0,3.9
379,7202,200000.0,1.5
380,6074,62601.0,2.3
381,34166,425000.0,4.0
382,11198,140300.0,4.5
383,2B096,248000.0,3.3
384,66143,600000.0,3.7
385,66030,50000.0,2.6
386,66030,200000.0,2.6
387,66140,150000.0,2.6
388,11308,144520.0,4.7
389,11273,185068.0,5.6
390,11099,829689.0,4.7
391,83069,73000.0,1.1
392,83064,75000.0,1.1
393,2B143,80000.0,3.6
394,13026,1000000.0,4.7
395,13056,460000.0,6.0
396,34032,87000.0,4.0
397,34225,51500.0,3.1
398,2B355,464200.0,2.7
399,66180,100000.0,3.4
400,66071,150000.0,2.6
401,11144,121304.0,6.5
402,48004,229000.0,3.3
403,11262,324079.0,5.3
404,34145,51700.0,2.5
405,34163,127500.0,2.4
406,11390,102861.0,5.6
407,2B320,51000.0,3.6
408,34148,101700.0,3.1
409,2B009,66000.0,3.6
410,2B185,97300.0,2.3
411,66106,400000.0,3.5
412,30181,52692.0,2.5
413,30141,102268.0,4.8
414,11162,74533.0,3.7
415,34285,287500.0,3.0
416,11022,90908.0,5.6
417,66164,500000.0,4.5
418,66205,331900.0,2.1
419,66212,150000.0,3.4
420,66008,50000.0,8.0
421,11148,211482.0,5.6
422,11361,52980.0,3.7
423,2B251,399600.0,3.1
424,13001,414600.0,2.0
425,66030,90000.0,2.6
426,13056,57600.0,6.0
427,13118,50900.0,2.7
428,13097,166400.0,5.1
429,2B105,80000.0,1.7
430,2B238,340039.0,1.7
431,2B009,88000.0,3.6
432,2B096,784900.0,3.3
433,2B148,100135.0,2.7
434,2B116,263500.0,1.7
435,84030,80000.0,2.4
436,2B148,53500.0,2.7
437,34073,67600.0,4.0
438,11286,263087.0,4.5
439,11410,107055.0,4.5
440,66030,80000.0,2.6
441,34291,230800.0,5.0
442,2B299,300000.0,2.7
443,34055,100000.0,5.3
444,34055,55000.0,5.3
445,66048,150000.0,8.0
446,66016,77000.0,8.0
447,2B140,98500.0,2.6
448,7018,240000.0,4.2
449,66192,80000.0,3.6
450,34235,396200.0,5.3
451,5164,60000.0,2.5
452,66190,535000.0,3.4
453,6103,323050.0,2.3
454,4193,81000.0,2.7
455,30154,65079.0,3.0
456,30169,85420.0,4.0
457,6049,72200.0,1.3
458,43171,100000.0,3.0
459,73235,74700.0,1.3
460,12168,100000.0,3.9
461,43155,50000.0,3.0
462,81163,50000.0,4.4
463,16061,150000.0,3.2
464,16255,70500.0,3.3
465,45015,150000.0,2.0
466,97410,50000.0,1.8
467,31573,100000.0,1.9
468,31085,60000.0,1.6
469,31222,120000.0,1.6
470,15156,60000.0,2.8
471,15149,60000.0,4.7
472,15113,100000.0,4.4
473,97415,96000.0,2.0
474,24465,55000.0,1.2
475,40167,60000.0,2.2
476,65045,300000.0,2.0
477,66069,100000.0,4.5
478,66016,200000.0,8.0
479,2A019,53000.0,1.5
480,6146,151250.0,3.95
481,2A041,84300.0,7.1
482,6077,79300.0,2.3
483,7153,213000.0,1.7
484,5038,233900.0,1.4
485,26354,55000.0,2.4
486,7141,124800.0,5.6
487,48165,60400.0,3.7
488,48020,199000.0,6.4
489,30190,239135.0,1.6
490,13039,53000.0,5.1
491,34237,185147.0,2.7
492,6074,233030.0,2.3
493,6157,61220.0,1.3
494,34103,67435.0,2.7
495,34183,80000.0,3.1
496,2B185,75000.0,2.3
497,13039,184270.0,5.1
498,34135,80000.0,4.0
499,2B123,280000.0,3.1
500,13098,143400.0,5.1
501,83101,156400.0,4.8
502,4020,57500.0,2.7
503,5101,100300.0,1.6
504,6157,342850.0,1.3
505,34214,93500.0,2.7
506,5108,144800.0,2.5
507,66053,50000.0,8.0
508,2B314,260000.0,2.7
509,34031,62000.0,4.0
510,2B079,75000.0,2.6
511,2B290,62000.0,4.7
512,2B355,200000.0,2.7
513,34013,71800.0,3.55
514,4160,79300.0,2.5
515,48100,50000.0,3.3
516,6050,80370.0,1.3
517,2A103,130000.0,3.2
518,2A198,50000.0,2.5
519,2A323,210000.0,1.5
520,6156,99010.0,2.0
521,2A215,51400.0,4.4
522,2B009,613700.0,3.6
523,2B143,382800.0,3.6
524,13072,964000.0,2.3
525,6034,906980.0,2.9
526,6130,154930.0,1.3
527,30189,103558.0,3.3
528,30351,174628.0,3.9
529,4020,577600.0,2.7
530,4218,84100.0,1.4
531,34166,119550.0,4.0
532,66138,70000.0,4.5
533,66024,60000.0,3.5
534,13047,58200.0,5.1
535,34116,68876.0,2.2
536,13001,138100.0,2.0
537,13047,725200.0,5.1
538,26022,120000.0,2.4
539,2A249,160000.0,2.0
540,2A017,610000.0,3.2
541,2A001,57635.0,3.2
542,2A004,50000.0,3.2
543,34181,57370.0,2.7
544,66130,50000.0,2.8
545,66003,50000.0,3.7
546,83119,70000.0,3.8
547,13077,336300.0,6.0
548,2B123,150000.0,3.1
549,30081,194649.0,4.8
550,6101,89033.0,2.9
551,30258,100000.0,3.6
552,2B277,50000.0,3.1
553,7251,96000.0,2.6
554,34076,74920.0,3.55
555,4024,216100.0,2.7
556,2B039,108333.0,2.3
557,4171,135600.0,3.3
558,84084,660000.0,2.4
559,84050,180300.0,4.0
560,34341,52321.0,4.8
561,4070,115700.0,2.7
562,30105,100000.0,3.0
563,83061,347000.0,3.2
564,2B292,210500.0,1.7
565,2B292,255700.0,1.7
566,2B143,400000.0,3.6
567,13073,108900.0,2.3
568,34096,70466.0,3.2
569,7086,80000.0,3.1
570,26116,71000.0,3.4
571,2A345,77000.0,1.5
572,2A139,110400.0,3.1
573,34181,437143.0,2.7
574,13055,55000.0,2.9
575,6050,54150.0,1.3
576,34145,193045.0,2.5
577,34235,447964.0,5.3
578,2B079,99100.0,2.6
579,6077,116600.0,2.3
580,2B301,80000.0,2.7
581,83142,300000.0,3.3
582,34211,53170.0,3.2
583,34281,846900.0,2.2
584,34170,523700.0,3.9
585,6066,125140.0,3.95
586,34213,100530.0,4.8
587,2B116,97000.0,1.7
588,4008,208400.0,1.4
589,4148,120000.0,1.8
590,48008,135000.0,7.0
591,4120,767100.0,2.3
592,30085,110000.0,3.1
593,7139,133000.0,2.6
594,13038,223600.0,3.3
595,4023,398600.0,1.2
596,4139,152300.0,1.8
597,26123,68000.0,1.3
598,66014,180000.0,4.5
599,48130,168600.0,6.4
600,48096,147400.0,3.0
601,66066,60000.0,2.8
602,66011,350000.0,4.5
603,66108,50000.0,2.6
604,12076,120000.0,3.4
605,43082,76568.0,2.1
606,46176,70000.0,3.1
607,23062,300000.0,1.8
608,12025,50000.0,3.3
609,12228,80000.0,2.5
610,40243,78000.0,1.9
611,47215,80000.0,2.0
612,7012,50000.0,3.7
613,83059,110000.0,1.1
614,34213,113330.0,4.8
615,34032,90429.0,4.0
616,66190,100000.0,3.4
617,2B055,100000.0,2.3
618,2B123,50000.0,3.1
619,30042,100023.0,2.8
620,34165,153404.0,4.8
621,34232,50420.0,3.1
622,34036,58132.0,4.7
623,2B123,100700.0,3.1
624,2B009,90000.0,3.6
625,34281,75019.0,2.2
626,2A284,50000.0,1.8
627,13071,123300.0,4.7
628,34121,257367.0,7.3
629,34226,119651.0,3.9
630,48115,134700.0,6.4
631,2B318,880000.0,2.7
632,34165,85968.0,4.8
633,34165,359700.0,4.8
634,34332,507900.0,4.0
635,66136,60000.0,4.5
636,66190,55000.0,3.4
637,66228,59700.0,4.5
638,2B201,70000.0,3.6
639,48162,80000.0,4.2
640,66065,60000.0,3.4
641,66190,150000.0,3.4
642,34286,79210.0,4.7
643,34200,121077.0,3.2
644,6062,90000.0,1.5
645,6074,173400.0,2.3
646,38140,140000.0,1.5
647,39557,50000.0,1.6
648,39478,200000.0,3.0
649,39289,75000.0,1.6
650,43012,117175.0,3.4
651,21037,95448.0,4.1
652,65428,1000000.0,2.0
653,65032,100000.0,2.0
654,55574,300000.0,2.5
655,39377,110000.0,2.3
656,21694,74900.0,1.6
657,21309,160000.0,2.95
658,52205,600000.0,1.6
659,49154,90000.0,3.1
660,49180,70000.0,2.7
661,58087,86647.0,2.0
662,31334,300000.0,3.3
663,31451,50000.0,4.6
664,81016,120000.0,2.1
665,23067,100000.0,1.8
666,23067,50000.0,1.8
667,58226,97104.0,3.3
668,12090,90000.0,3.5
669,79153,200000.0,2.9
670,50403,400000.0,5.0
671,3055,740000.0,2.0
672,64255,100000.0,3.2
673,64276,80000.0,1.9
674,64124,950000.0,1.4
675,64504,200000.0,4.2
676,64477,190000.0,1.4
677,64342,100000.0,5.9
678,64218,50000.0,1.4
679,64218,50005.0,1.4
680,64298,60000.0,5.9
681,24222,60000.0,1.3
682,24218,50000.0,2.5
683,33498,320000.0,2.7
684,33498,50000.0,2.7
685,33251,150000.0,2.2
686,47186,50000.0,1.6
687,38294,79000.0,3.2
688,1037,100000.0,1.1
689,41275,190000.0,3.1
690,41041,600000.0,3.1
691,41250,82000.0,3.1
692,41248,80300.0,3.1
693,41088,201000.0,3.1
694,4074,99000.0,2.7
695,48119,72300.0,3.3
696,6013,50000.0,2.3
697,7077,50000.0,3.8
698,34007,256785.0,3.9
699,34235,78396.0,5.3
700,6148,734000.0,1.3
701,83069,116000.0,1.1
702,2A272,73800.0,2.0
703,2B002,165000.0,3.1
704,34093,124100.0,3.2
705,2B050,150000.0,3.7
706,13117,80000.0,4.7
707,13117,50000.0,4.7
708,83003,380000.0,3.3
709,83082,50000.0,3.3
710,4045,79700.0,2.8
711,34341,55253.0,4.8
712,83137,100000.0,4.5
713,34095,622900.0,2.6
714,4004,527700.0,3.2
715,34143,121109.0,4.8
716,34213,171261.0,4.8
717,48065,139500.0,6.4
718,48194,114270.0,3.3
719,83153,175200.0,6.2
720,34015,122869.0,3.9
721,34268,149615.0,4.7
722,66156,670000.0,1.8
723,34145,52989.0,2.5
724,4113,287800.0,2.7
725,84035,130300.0,5.1
726,2B079,120000.0,2.6
727,34056,85000.0,3.0
728,5123,70400.0,2.8
729,34166,206119.0,4.0
730,30093,74723.0,1.6
731,83107,50000.0,1.7
732,13103,82100.0,3.7
733,13106,104400.0,2.9
734,2B185,50000.0,2.3
735,2B222,100000.0,1.7
736,34329,55176.0,4.0
737,34017,252400.0,3.0
738,2B143,219200.0,3.6
739,34205,112742.0,7.3
740,26300,57300.0,1.3
741,34235,189162.0,5.3
742,34281,326900.0,2.2
743,2B105,71400.0,1.7
744,34308,52731.0,3.2
745,34168,111935.0,2.7
746,2A048,83000.0,1.5
747,30190,87701.0,1.6
748,34045,57257.0,2.7
749,2B355,566000.0,2.7
750,2A326,710000.0,2.3
751,2A272,208000.0,2.0
752,66134,50000.0,3.7
753,66212,150000.0,3.4
754,66182,50000.0,3.4
755,34210,56401.0,3.55
756,66205,80000.0,2.1
757,84089,212100.0,2.3
758,4144,150600.0,1.4
759,34281,388500.0,2.2
760,66145,50000.0,2.6
761,66008,300000.0,8.0
762,66227,365000.0,4.5
763,66168,100000.0,3.5
764,66108,880000.0,2.6
765,66224,180000.0,3.4
766,7098,70000.0,2.6
767,2B281,996300.0,4.3
768,66088,50000.0,3.1
769,66016,330000.0,8.0
770,6070,80000.0,3.4
771,34165,154537.0,4.8
772,4204,197300.0,1.6
773,6074,370000.0,2.3
774,6153,342100.0,2.0
775,7121,90000.0,4.2
776,48198,100000.0,3.3
777,48015,85000.0,1.5
778,48061,57700.0,4.2
779,48166,143500.0,4.2
780,48162,220000.0,4.2
781,43246,100000.0,3.4
782,82131,80000.0,2.4
783,2305,100000.0,2.6
784,82187,700000.0,2.3
785,89021,370000.0,2.4
786,58107,216242.0,2.9
787,46072,120000.0,2.3
788,43156,62000.0,4.2
789,58270,75250.0,2.4
790,89044,50000.0,2.4
791,89419,72000.0,2.1
792,3217,250000.0,2.0
793,3155,55000.0,2.5
794,45315,50500.0,2.1
795,45098,100000.0,4.1
796,77186,50000.0,2.2
797,87064,140000.0,2.5
798,97408,108106.0,1.1
799,31581,200000.0,2.3
800,79246,80000.0,2.9
801,79154,70000.0,3.0
802,15038,50000.0,4.7
803,15250,180000.0,2.1
804,24485,80000.0,2.4
805,24294,50000.0,1.2
806,64067,71000.0,2.1
807,64223,700000.0,4.1
808,64559,50000.0,1.5
809,40296,60000.0,2.7
810,40319,120000.0,2.0
811,40006,50000.0,2.0
812,40060,84391.0,2.2
813,33029,125500.0,2.1
814,33202,214300.0,2.2
815,33202,362600.0,2.2
816,33029,212400.0,2.1
817,33233,60000.0,1.3
818,33202,50000.0,2.2
819,48098,93400.0,6.4
820,2B315,110000.0,1.7
821,2B002,898200.0,3.1
822,30089,86050.0,3.3
823,34143,135801.0,4.8
824,34197,517100.0,2.7
825,2B079,322600.0,2.6
826,13077,62000.0,6.0
827,34226,295700.0,3.9
828,26200,104200.0,3.4
829,2B242,196800.0,2.7
830,6130,392700.0,1.3
831,6070,195400.0,3.4
832,7315,200000.0,1.7
833,2B112,194400.0,4.7
834,34016,67959.0,2.2
835,2B224,741300.0,4.3
836,4094,74800.0,2.9
837,4199,351400.0,2.4
838,2B145,50000.0,2.7
839,2B192,200000.0,2.7
840,66119,150000.0,3.2
841,34032,236085.0,4.0
842,5055,628500.0,1.9
843,4070,55900.0,2.7
844,66069,50000.0,4.5
845,30129,130605.0,2.8
846,30169,409541.0,4.0
847,30339,663168.0,10.3
848,2A004,100000.0,3.2
849,2A017,120000.0,3.2
850,83003,311000.0,3.3
851,2A031,56038.0,2.3
852,2B275,121520.0,1.7
853,34147,56520.0,3.1
854,30017,89533.0,3.0
855,13081,87400.0,4.7
856,13077,832200.0,6.0
857,13118,117300.0,2.7
858,13005,91600.0,2.5
859,13117,313100.0,4.7
860,34232,69471.0,3.1
861,48119,180100.0,3.3
862,30339,104450.0,10.3
863,2B051,50000.0,1.7
864,7115,50000.0,2.4
865,13033,53600.0,4.7
866,4170,58800.0,3.0
867,4013,92500.0,3.3
868,66017,100000.0,3.4
869,66172,80000.0,4.5
870,66071,286300.0,2.6
871,66093,80000.0,3.5
872,66176,200000.0,3.4
873,66049,50000.0,3.7
874,66030,110000.0,2.6
875,66015,50000.0,3.5
876,2B063,250000.0,1.7
877,34061,79565.0,3.1
878,2A323,70000.0,1.5
879,48116,819600.0,4.2
880,48178,77400.0,3.4
881,6103,95000.0,2.3
882,6103,112000.0,2.3
883,17240,150000.0,2.8
884,97415,140594.0,2.0
885,87150,100000.0,2.4
886,97415,384400.0,2.0
887,89368,50000.0,2.2
888,63006,90000.0,3.3
889,63006,80000.0,3.3
890,12094,60000.0,3.4
891,12155,60000.0,3.9
892,40184,600000.0,1.3
893,33436,50000.0,2.1
894,33376,50000.0,3.1
895,34214,216018.0,2.7
896,34040,97834.0,3.2
897,34341,221628.0,4.8
898,2B355,489000.0,2.7
899,34092,60755.0,3.9
900,6163,420000.0,1.5
901,48075,62600.0,2.7
902,48168,75000.0,3.3
903,48119,114700.0,3.3
904,7251,57000.0,2.6
905,84079,308100.0,2.0
906,7187,165000.0,5.6
907,5077,55000.0,2.5
908,2B355,80000.0,2.7
909,2B213,50000.0,1.7
910,34135,340439.0,4.0
911,34206,560104.0,3.1
912,34135,188475.0,4.0
913,13007,803300.0,7.8
914,66069,100000.0,4.5
915,66174,70000.0,2.6
916,2A004,54000.0,3.2
917,66148,329600.0,8.0
918,83124,70000.0,1.9
919,2B150,52500.0,3.7
920,30193,54503.0,2.5
921,2B185,105050.0,2.3
922,6157,89000.0,1.3
923,2A006,70000.0,3.2
924,2B190,65000.0,4.7
925,66121,963400.0,3.1
926,66012,304530.0,4.5
927,66048,99300.0,8.0
928,34328,69781.0,2.2
929,2B143,100000.0,3.6
930,34180,134100.0,3.55
931,34007,67160.0,3.9
932,34017,143957.0,3.0
933,34183,464040.0,3.1
934,2A017,357000.0,3.2
935,2A209,78000.0,1.5
936,66190,170000.0,3.4
937,66205,902900.0,2.1
938,6073,98000.0,2.0
939,48075,154800.0,2.7
940,13056,59000.0,6.0
941,2B235,100000.0,4.7
942,2B333,170000.0,2.3
943,2B143,334500.0,3.6
944,34268,153388.0,4.7
945,34045,278905.0,2.7
946,34213,61647.0,4.8
947,34036,113183.0,4.7
948,66002,75000.0,3.4
949,34332,70550.0,4.0
950,2A006,157305.0,3.2
951,34093,72005.0,3.2
952,34135,378600.0,4.0
953,34186,68072.0,4.7
954,34056,80994.0,3.0
955,34165,445051.0,4.8
956,34178,54906.0,3.1
957,2A200,184200.0,2.3
958,2B289,106000.0,1.4
959,2B079,70000.0,2.6
960,2B343,80000.0,2.7
961,34144,77012.0,3.2
962,15081,50000.0,4.4
963,15045,150000.0,3.2
964,21582,75000.0,2.5
965,46040,200000.0,2.8
966,81243,849600.0,1.7
967,81325,122000.0,2.1
968,81073,500000.0,3.6
969,15106,250000.0,4.7
970,41275,300000.0,3.1
971,58102,60000.0,2.4
972,58304,50100.0,2.3
973,46079,90000.0,2.8
974,54244,120000.0,2.8
975,81027,110000.0,2.1
976,43157,98500.0,2.6
977,54156,60500.0,2.3
978,42021,200000.0,0.7
979,35211,100000.0,2.8
980,58102,260000.0,2.4
981,60182,500000.0,3.0
982,97606,70000.0,1.3
