code_INSEE,latitude,longitude,altitude_med
7322,44.6727,4.2107,420.0
2B170,42.9363,9.3742,190.0
2B316,42.6038,8.9332,296.0
34113,43.4953,3.7242,34.0
7003,44.719,4.3335,428.0
34123,43.6173,3.7908,100.0
2A269,41.8163,9.3396,397.0
2B283,41.8789,9.3181,397.0
34116,43.6503,3.7894,100.0
34074,43.4533,3.0363,97.0
11260,42.9631,2.5315,538.0
34313,43.5718,3.487,46.0
66108,42.6966,2.6865,103.0
34226,43.353,2.9881,130.0
2A254,41.7948,9.2156,1212.0
34225,43.379,3.056,83.0
6132,43.9935,7.5403,425.0
6013,44.0615,7.3612,625.0
48172,44.3167,3.8333,1000.0
34190,43.2897,2.7791,86.0
12094,44.6604,2.5853,239.0
12226,44.7319,2.5769,239.0
39086,46.4097,5.6447,320.0
81004,43.929,2.1323,321.0
79280,47.0343,-0.5281,128.0
73019,45.4939,6.3341,419.0
54305,48.7516,6.1924,213.0
54490,48.7891,6.0386,213.0
79168,47.0167,-0.35,128.0
45092,47.9679,2.6232,99.0
35152,48.2025,-1.5064,53.0
3004,46.248,3.74,450.0
73211,45.7091,6.4657,500.0
97417,-21.3084,55.7436,91.0
45032,48.1473,2.9319,107.0
3006,46.1468,3.7388,823.0
3217,46.3558,2.6957,275.0
33300,45.2596,-1.0643,14.0
33422,44.7973,-0.8156,60.0
33238,44.7236,-0.6172,65.0
33229,44.7719,-0.9799,7.0
33104,45.0033,-0.8162,20.0
40332,44.3545,-0.9643,66.0
40167,44.2382,-0.5061,89.0
40149,44.1482,-0.3856,127.0
41043,47.2895,1.4812,92.0
41130,47.7429,1.3572,126.0
41186,47.8737,1.0613,115.0
41087,47.7976,0.8316,73.0
42326,45.3724,4.634,1370.0
11170,43.1042,3.0871,0.0
2B320,42.1897,9.4697,78.0
34319,43.558,3.2958,122.0
2B201,42.1891,9.4093,685.0
7323,44.9009,4.7942,112.0
11315,43.2667,2.5906,125.0
11386,43.0204,2.6654,320.0
11009,43.2646,2.1665,134.0
7258,45.1676,4.4897,1090.0
84129,44.016,4.8555,20.0
11259,43.2847,2.2343,280.0
2B059,42.4987,9.2341,240.0
26318,44.4243,5.3272,556.0
34103,43.5414,3.3881,40.0
34003,43.3084,3.4839,2.0
34019,43.7513,3.1107,435.0
34181,43.5381,3.3363,122.0
2B095,42.3627,9.0453,1063.0
2B290,42.5757,8.9731,844.0
2B361,42.5181,8.8989,450.0
34237,43.5119,3.3082,73.0
30231,44.15,3.6998,450.0
48122,44.3667,3.5333,618.0
48074,44.2479,3.3851,1054.0
34242,43.7762,3.9434,160.0
83061,43.4553,6.7848,18.0
66076,42.7613,2.4877,515.0
66215,42.7091,2.5105,251.0
66058,42.7098,2.7247,103.0
84147,43.7066,5.4266,70.0
13005,43.2904,5.5643,105.0
2A038,41.6222,8.9048,5.0
34020,43.3263,2.7475,86.0
2B341,42.2129,9.1455,630.0
66008,42.53,3.0232,5.0
11198,43.2678,2.5144,125.0
11022,43.2763,2.6581,131.0
66127,42.8817,2.8601,120.0
2B355,42.5237,9.3699,70.0
11016,43.1061,2.4938,240.0
66014,42.744,2.8079,42.0
30009,43.974,3.4466,800.0
11018,43.1968,2.2082,130.0
6162,44.0897,7.6496,792.0
11276,42.8552,2.7135,182.0
7112,44.7514,4.2994,952.0
2A031,41.9781,9.0553,661.0
48116,44.3684,3.7777,1000.0
4194,43.9114,6.922,860.0
6103,44.0282,7.2885,625.0
7286,44.8242,4.4845,640.0
6023,43.9379,7.4996,320.0
26113,44.7515,5.3878,396.0
12163,43.7606,2.7767,811.0
