id,code_INSEE,annee,mois,jour,heure,tmax_med
769,48098,2020,Apr,15,12,12.9
770,48100,2017,Jan,7,15,14.9
771,48115,2018,Sep,25,15,12.9
772,48116,2015,Mar,11,12,13.55
773,48116,2020,Feb,23,17,13.55
774,48116,2022,Jan,27,14,13.55
775,48119,2012,Feb,21,14,14.1
776,48119,2019,Mar,17,11,14.1
777,48119,2020,Sep,7,15,14.1
778,48119,2021,Apr,7,16,14.1
779,48119,2022,Jan,26,15,14.1
780,48122,2015,Jul,1,8,20.2
781,48130,2017,Aug,21,14,15.5
782,48145,2022,Mar,1,11,8.4
783,48146,2022,Jul,19,13,18.5
784,48148,2012,Feb,15,15,18.85
785,48148,2022,Aug,2,17,18.85
786,48162,2018,Feb,24,20,14.35
787,48162,2019,Feb,27,15,14.35
788,48165,2017,Feb,26,14,12.4
789,48166,2016,Mar,26,14,14.35
790,48166,2019,Feb,28,15,14.35
791,48168,2021,Apr,2,17,20.2
792,48172,2014,Mar,18,14,13.55
793,48178,2020,Mar,18,12,24.2
794,48186,2012,Feb,26,14,20.2
795,48194,2016,Mar,26,14,16.4
796,48194,2019,Jul,31,14,16.4
797,48198,2019,Feb,13,15,15.9
798,49154,2019,Aug,4,14,21.05
799,49180,2019,Aug,14,12,17.55
800,5004,2022,Mar,24,10,14.6
801,50041,2022,Jul,17,2,13.6
802,50041,2022,Jul,17,23,13.6
803,5024,2012,Aug,27,13,16.9
804,5033,2012,Mar,11,13,18.6
805,5038,2017,Apr,25,13,10.8
806,50403,2019,Mar,27,13,15.45
807,5055,2020,Aug,10,15,16.5
808,5077,2021,May,8,15,3.5
809,5090,2022,Mar,26,14,14.5
810,5101,2017,Jan,5,13,2.0
811,5108,2017,Feb,23,15,16.2
812,5123,2019,Aug,14,5,17.4
813,5164,2016,Dec,1,11,16.2
814,52205,2019,Jul,25,15,15.5
815,54156,2022,Aug,12,13,15.7
816,54244,2022,Jul,19,12,16.2
817,54305,2015,Apr,19,13,15.0
818,54490,2015,Jul,23,15,14.0
819,55574,2019,Jul,22,17,14.4
820,56054,2022,Aug,6,16,18.65
821,56126,2022,Aug,8,11,16.4
822,56132,2022,Aug,7,3,16.1
823,56233,2022,Aug,6,13,16.6
824,58003,2012,Mar,27,21,14.1
825,58081,2016,Aug,30,12,16.1
826,58087,2019,Jul,30,19,16.4
827,58102,2022,Aug,10,13,17.25
828,58102,2022,Jul,9,20,17.25
829,58107,2020,Aug,27,18,16.2
830,58226,2019,Sep,20,14,16.9
831,58270,2020,Sep,14,15,15.6
832,58304,2022,Jul,11,16,16.9
833,6002,2022,Aug,6,17,12.85
834,6013,2014,Mar,19,15,16.3
835,6013,2019,Mar,26,0,16.3
836,60182,2022,Jul,19,14,16.2
837,6023,2015,Apr,11,15,19.8
838,6034,2017,Jul,17,14,20.6
839,6042,2012,Jan,17,13,15.0
840,6049,2016,Mar,9,15,15.2
841,6050,2017,Feb,21,14,15.2
842,6050,2017,Sep,17,10,15.2
843,6057,2012,Feb,20,13,16.9
844,6062,2018,Mar,25,15,17.4
845,6066,2017,Oct,7,6,16.4
846,6070,2019,Jan,12,11,12.4
847,6070,2020,Feb,11,11,12.4
848,6073,2021,Aug,26,12,8.15
849,6074,2014,Mar,17,10,19.8
850,6074,2015,Apr,2,12,19.8
851,6074,2015,Jan,4,12,19.8
852,6074,2015,Jan,12,18,19.8
853,6074,2016,Apr,12,15,19.8
854,6074,2016,May,28,22,19.8
855,6074,2017,Jan,13,17,19.8
856,6074,2018,Apr,19,19,19.8
857,6074,2019,Feb,25,12,19.8
858,6077,2017,Jan,6,11,12.5
859,6077,2017,Sep,20,19,12.5
860,6077,2022,Jul,31,17,12.5
861,6082,2014,Apr,9,13,16.55
862,6098,2016,Apr,12,10,18.3
863,61002,2022,Jun,12,15,15.65
864,6101,2017,Aug,3,11,13.9
865,61020,2022,Aug,8,10,21.9
866,61024,2022,Jul,19,14,15.7
867,61026,2022,Aug,10,14,16.2
868,6103,2015,Apr,3,17,17.6
869,6103,2015,Apr,15,13,17.6
870,6103,2016,Dec,29,13,17.6
871,6103,2020,Mar,22,11,17.6
872,6103,2020,Mar,22,13,17.6
873,61037,2022,Jul,30,14,16.1
874,6104,2022,Sep,9,23,13.4
875,61040,2022,Aug,12,13,15.8
876,61050,2022,Jul,17,15,19.35
877,61050,2022,Jun,14,16,19.35
878,61061,2022,Jul,27,13,16.2
879,61067,2022,Jul,19,0,14.6
880,61067,2022,Jul,24,21,14.6
881,61081,2022,Jul,11,15,15.4
882,61092,2022,Aug,7,13,14.9
883,61117,2022,Sep,4,13,15.1
884,61145,2022,Aug,11,13,20.9
885,61145,2022,Jul,17,15,20.9
886,61158,2022,Jul,18,12,15.2
887,6116,2012,Mar,16,10,15.3
888,61193,2022,Jun,12,18,14.9
889,61206,2022,Aug,9,18,15.2
890,61230,2022,Aug,25,12,19.35
