id,code_INSEE,nature_sec_inc,rr_med
1095,2A031,travaux,120.5
1096,34214,travaux,34.0
1097,48119,travaux,67.05
1098,48116,travaux,57.5
1099,66127,travaux,33.4
1100,2B046,NA,40.2
1101,2B184,NA,40.85
1102,2B058,NA,40.85
1103,2B301,NA,48.4
1104,13117,NA,34.25
1105,13044,particulier,38.15
1106,66014,NA,29.25
1107,30041,particulier,47.95
1108,30145,NA,53.1
1109,13067,particulier,42.6
1110,48145,travaux,86.6
1111,48049,travaux,60.25
1112,48040,particulier,67.05
1113,34118,NA,73.4
1114,34268,NA,36.0
1115,66093,NA,44.55
1116,26146,NA,66.5
1117,26295,NA,61.0
1118,2B314,travaux,48.4
1119,2B354,NA,96.7
1120,2B123,NA,38.5
1121,2B029,NA,63.55
1122,2B143,particulier,41.0
1123,2B123,travaux,38.5
1124,2B009,travaux,38.0
1125,2B341,NA,132.1
1126,2B352,NA,39.3
1127,83124,travaux,61.75
1128,30319,travaux,49.2
1129,66164,NA,29.25
1130,66041,NA,31.7
1131,66108,NA,32.35
1132,30169,NA,53.0
1133,34295,NA,44.0
1134,34285,NA,39.45
1135,7040,NA,63.1
1136,48146,travaux,72.0
1137,48022,travaux,72.0
1138,4179,NA,66.0
1139,2B079,NA,42.3
1140,2B341,NA,132.1
1141,2B007,NA,102.5
1142,2B314,NA,48.4
1143,34329,NA,32.0
1144,34221,NA,43.5
1145,34230,NA,68.45
1146,34162,NA,39.45
1147,6077,NA,73.35
1148,48148,NA,91.4
1149,66193,particulier,43.2
1150,7330,NA,60.9
1151,7134,NA,74.1
1152,7077,NA,87.0
1153,83076,travaux,46.7
1154,66214,NA,34.75
1155,34318,particulier,55.9
1156,4086,particulier,48.85
1157,4209,particulier,62.25
1158,48028,NA,65.95
1159,34087,particulier,42.7
1160,34209,travaux,27.95
1161,48015,NA,81.05
1162,6002,NA,70.8
1163,2A099,NA,117.0
1164,7085,NA,66.5
1165,7129,NA,66.5
1166,30295,NA,51.1
1167,34235,NA,52.5
1168,34019,NA,76.95
1169,66141,NA,29.25
1170,13112,particulier,38.45
1171,13056,particulier,15.5
1172,13098,NA,38.7
1173,13106,NA,40.9
1174,13019,NA,38.2
1175,13097,NA,39.7
1176,4039,particulier,64.5
1177,7161,NA,94.55
1178,7028,NA,61.25
1179,48050,NA,65.95
1180,11095,particulier,41.35
1181,6163,travaux,65.15
1182,6104,travaux,53.0
1183,2B185,NA,41.15
1184,66046,NA,51.3
1185,66148,NA,30.95
1186,2B292,NA,33.9
1187,2B292,NA,33.9
1188,2B055,NA,52.3
1189,26367,NA,60.5
1190,11132,travaux,37.5
1191,7315,particulier,132.9
1192,84091,particulier,41.5
1193,30337,NA,51.1
1194,2A031,travaux,120.5
1195,4090,travaux,67.2
1196,4061,particulier,74.35
1197,2A024,NA,79.9
1198,6153,particulier,60.8
1199,7226,particulier,68.75
1200,7200,particulier,112.6
1201,50041,NA,84.85
1202,50041,NA,84.85
