id,commune,code_INSEE,surface_parcourue_m2,annee,mois,jour,heure,nature_inc_prim,nature_inc_sec
1,Saint-Haon,43192,72000,2012,Feb,28,13,Involontaire,particulier
2,Laroquevieille,15095,150000,2012,Feb,29,13,Involontaire,travaux
3,Saint-Paul-de-Salers,15205,300000,2012,Mar,2,13,Involontaire,particulier
4,Saint-Flour,15187,70000,2012,Mar,2,13,Involontaire,particulier
5,Cassaniouze,15029,80000,2012,Mar,8,11,Involontaire,particulier
6,Soulages,15229,50000,2012,Mar,14,19,Accidentelle,NA
7,Fayet,12099,75000,2012,Mar,1,16,Involontaire,particulier
8,Saint-Parthem,12240,75000,2012,Mar,2,14,Involontaire,particulier
9,Champs-sur-Tarentaine-Marchal,15038,180000,2012,Mar,16,13,Malveillance,NA
10,Auzers,15015,50000,2012,Mar,17,8,Accidentelle,NA
11,Cr̩mieu,38138,50000,2012,Mar,2,16,Malveillance,NA
12,Alligny-en-Morvan,58003,70000,2012,Mar,27,21,Involontaire,travaux
13,Espalion,12096,50000,2012,Mar,23,19,Involontaire,particulier
14,Montagnol,12147,50000,2012,Mar,14,15,Involontaire,particulier
15,Roum̩goux,15166,50000,2012,Mar,28,13,Involontaire,travaux
16,Jussac,15083,60000,2012,Mar,29,15,Involontaire,travaux
17,Varacieux,38523,50000,2012,Mar,26,11,Malveillance,NA
18,Livinhac-le-Haut,12130,650000,2012,Mar,28,12,Involontaire,particulier
19,Saint-Poncy,15207,100000,2012,Apr,2,15,Involontaire,travaux
20,Saint-Denis,97411,150000,2012,Sep,16,11,Malveillance,NA
21,Saint-Denis,97411,85000,2012,Oct,27,11,Malveillance,NA
22,Mimizan,40184,162907,2012,Aug,16,15,Accidentelle,NA
23,Beylongue,40040,153000,2012,Feb,28,14,Involontaire,particulier
24,Pomp̩jac,33329,119800,2012,Sep,20,16,Involontaire,travaux
25,Touv̩rac,16384,50000,2012,Jun,25,2,Accidentelle,NA
26,Rosis,34235,74000,2012,Feb,22,21,Malveillance,NA
27,Murviel-l̬s-B̩ziers,34178,83300,2012,Feb,20,15,Malveillance,NA
28,Prunelli-di-Fiumorbo,2B251,200000,2012,Jan,6,12,Malveillance,NA
29,Gigors,4093,182000,2012,Feb,19,13,Involontaire,particulier
30,Estavar,66072,50000,2012,Feb,29,15,Involontaire,travaux
31,Concoules,30090,102800,2012,Feb,9,12,Involontaire,particulier
32,Rochessauve,7194,86000,2012,Mar,2,17,Involontaire,travaux
33,Labatie-d'Andaure,7114,120000,2012,Mar,3,10,Involontaire,travaux
34,Saint-Laurent-sous-Coiron,7263,166000,2012,Mar,3,14,Involontaire,travaux
35,Usclas-du-Bosc,34316,55000,2012,Feb,23,15,Involontaire,travaux
36,Aumelas,34016,150000,2012,Mar,8,7,Malveillance,NA
37,Saint-Privat,34286,100000,2012,Mar,10,14,Malveillance,NA
38,Villeveyrac,34341,101100,2012,Mar,9,15,Involontaire,travaux
39,Valbelle,4229,68000,2012,Feb,23,12,Involontaire,travaux
40,Montlaur,11251,64200,2012,Feb,29,13,Involontaire,travaux
41,Loupian,34143,320000,2012,Mar,8,14,Accidentelle,NA
42,Saint-Privat,34286,190200,2012,Mar,10,14,Malveillance,NA
43,Sabli̬res,7202,450000,2012,Mar,15,15,Involontaire,particulier
44,Laveyrune,7136,76000,2012,Mar,15,17,Involontaire,travaux
45,Clans,6042,518181,2012,Jan,17,13,Involontaire,travaux
46,Saint-Auban,6116,120500,2012,Mar,16,10,Involontaire,travaux
47,Calenzana,2B049,50000,2012,Mar,11,17,Malveillance,NA
48,Pr̩vench̬res,48119,50000,2012,Feb,21,14,Involontaire,travaux
49,Saint-Laurent-de-Cerdans,66179,70000,2012,Mar,24,13,Involontaire,travaux
50,Banyuls-sur-Mer,66016,50000,2012,Mar,25,12,Involontaire,travaux
51,Burzet,7045,590000,2012,Mar,27,16,Malveillance,NA
52,Chanousse,5033,223300,2012,Mar,11,13,Involontaire,particulier
53,Mayres,7153,114000,2012,Mar,28,20,Malveillance,NA
54,Niort-de-Sault,11265,53200,2012,Mar,29,13,Malveillance,NA
55,Aups,83007,50000,2012,Mar,28,17,Involontaire,travaux
56,B̩dou̬s,48022,60000,2012,Mar,16,15,Involontaire,travaux
57,Moissac-Vall̩e-Fran̤aise,48097,50000,2012,Mar,1,11,Involontaire,travaux
58,Salle-Prunet (La),48186,60000,2012,Feb,26,14,Involontaire,particulier
59,Calvisson,30062,70606,2012,Apr,2,14,Malveillance,NA
60,Castellane,4039,50000,2012,Feb,29,15,Involontaire,travaux
61,Saint-Martin,83114,60475,2012,May,5,17,Naturelle,NA
62,Montferrier-sur-Lez,34169,76600,2012,May,13,15,Involontaire,particulier
63,Malarce-sur-la-Thines,7147,80000,2012,May,17,18,Naturelle,NA
64,Tavera,2A324,153000,2012,Mar,10,13,Malveillance,NA
65,Lecci,2A139,147300,2012,Mar,10,14,Involontaire,particulier
66,Corte,2B096,70000,2012,Jun,13,13,Malveillance,NA
67,Castifao,2B080,260200,2012,Jul,1,11,Accidentelle,NA
68,Terrats,66207,100000,2012,Jun,25,14,Accidentelle,NA
69,Corb̬re-les-Cabanes,66056,50000,2012,Jun,25,14,Accidentelle,NA
