id,code_INSEE,surface_parcourue_m2,annee,mois,jour,heure,nature_inc_prim,nature_inc_sec,altitude_med,altitude_zone
81,11396,672258.0,2012,Jul,19,11,Involontaire,travaux,125.0,Basse
82,11069,95300.0,2012,Jul,21,17,Malveillance,NA,128.0,Basse
83,4070,50000.0,2012,Jun,22,14,Involontaire,particulier,595.0,Basse
84,2B185,59000.0,2012,Jul,25,16,Malveillance,NA,54.0,Basse
85,34038,130000.0,2012,Feb,8,16,Involontaire,particulier,249.0,Basse
86,48070,350000.0,2012,Apr,28,18,Accidentelle,NA,1260.0,Haute
87,2B185,60000.0,2012,Jul,30,12,Malveillance,NA,54.0,Basse
88,2B185,60000.0,2012,Jul,30,15,Malveillance,NA,54.0,Basse
89,2B049,60000.0,2012,Aug,4,15,Malveillance,NA,547.0,Basse
90,13067,74000.0,2012,Jul,16,18,Malveillance,NA,250.0,Basse
91,13001,180000.0,2012,Jul,23,15,Malveillance,NA,215.0,Basse
92,11262,582300.0,2012,Aug,9,16,Accidentelle,NA,13.0,Basse
93,34186,52000.0,2012,Feb,21,20,Involontaire,travaux,184.0,Basse
94,11285,71100.0,2012,Aug,13,16,Malveillance,NA,13.0,Basse
95,34032,54000.0,2012,Jun,25,15,Accidentelle,NA,50.0,Basse
96,2B185,90000.0,2012,Aug,20,12,Malveillance,NA,54.0,Basse
97,7038,500000.0,2012,Aug,21,17,Naturelle,NA,1230.0,Haute
98,7147,80000.0,2012,Aug,21,7,Accidentelle,NA,400.0,Basse
99,48148,50000.0,2012,Feb,15,15,Involontaire,particulier,518.0,Basse
100,66137,120000.0,2012,Jul,22,13,Malveillance,NA,295.0,Basse
101,34165,414500.0,2012,Aug,18,16,Malveillance,NA,34.0,Basse
102,66141,140000.0,2012,Jul,28,16,Accidentelle,NA,42.0,Basse
103,66069,50000.0,2012,Aug,12,4,Malveillance,NA,42.0,Basse
104,83099,254000.0,2012,Aug,31,14,Involontaire,particulier,7.0,Basse
105,34061,230000.0,2012,Aug,28,1,Malveillance,NA,140.0,Basse
106,66030,50000.0,2012,Aug,14,10,Malveillance,NA,182.0,Basse
107,66214,160000.0,2012,Aug,17,13,Accidentelle,NA,148.0,Basse
108,66005,630000.0,2012,Aug,24,13,Involontaire,particulier,1600.0,Haute
109,66088,50000.0,2012,Sep,10,2,Malveillance,NA,158.0,Basse
110,66227,150000.0,2012,Sep,13,20,Accidentelle,NA,13.0,Basse
111,11397,143800.0,2012,Sep,14,13,Involontaire,particulier,136.0,Basse
112,66147,50000.0,2012,Jul,18,15,Naturelle,NA,1975.0,Haute
113,4163,297000.0,2012,Jul,18,18,Involontaire,travaux,804.0,Basse
114,4156,264000.0,2012,Jul,26,15,Involontaire,travaux,473.0,Basse
115,13112,320000.0,2012,Sep,13,17,Malveillance,NA,198.0,Basse
116,5024,400000.0,2012,Aug,27,13,Naturelle,NA,786.0,Basse
117,7210,70000.0,2012,Feb,22,17,Involontaire,particulier,600.0,Basse
118,2A004,438000.0,2012,Aug,31,16,Malveillance,NA,86.0,Basse
119,2A004,50000.0,2012,Sep,2,16,Malveillance,NA,86.0,Basse
120,66150,90000.0,2012,Nov,13,10,Involontaire,travaux,725.0,Basse
121,7266,230000.0,2012,Feb,23,13,Involontaire,particulier,803.0,Basse
122,6057,52400.0,2012,Feb,20,13,Involontaire,travaux,340.0,Basse
123,22233,200000.0,2013,May,9,16,Accidentelle,NA,78.0,Basse
124,17110,90000.0,2013,Jun,3,13,Accidentelle,NA,66.0,Basse
125,12275,120000.0,2013,Jul,13,13,Involontaire,travaux,435.0,Basse
126,43220,124000.0,2013,Sep,4,14,Involontaire,particulier,593.0,Basse
127,65066,500000.0,2013,Apr,14,14,Involontaire,travaux,767.0,Basse
128,82038,70000.0,2013,Apr,17,16,Accidentelle,NA,220.0,Basse
129,33230,344800.0,2013,Mar,4,15,Involontaire,travaux,66.0,Basse
130,24263,220000.0,2013,Mar,5,14,Accidentelle,NA,189.0,Basse
131,34305,104300.0,2013,Apr,25,15,Involontaire,travaux,930.0,Basse
132,2B034,60000.0,2013,Jun,23,16,Involontaire,particulier,844.0,Basse
133,2B350,60000.0,2013,Jun,29,14,Malveillance,NA,70.0,Basse
134,66048,300000.0,2013,Feb,3,16,Accidentelle,NA,72.0,Basse
135,4023,153000.0,2013,Mar,4,0,Involontaire,travaux,886.0,Basse
136,4023,87000.0,2013,Mar,4,0,Involontaire,travaux,886.0,Basse
137,2B167,175800.0,2013,Jul,12,11,Malveillance,NA,450.0,Basse
138,30032,72745.0,2013,Jul,17,13,Accidentelle,NA,18.0,Basse
139,2B185,118300.0,2013,Jul,25,11,Malveillance,NA,54.0,Basse
140,34218,58000.0,2013,Jul,25,10,Involontaire,travaux,130.0,Basse
141,2B123,60000.0,2013,Aug,2,15,Malveillance,NA,61.0,Basse
142,2B185,144800.0,2013,Aug,4,12,Malveillance,NA,54.0,Basse
143,30032,62659.0,2013,Jul,23,21,Malveillance,NA,18.0,Basse
144,11122,153000.0,2013,Aug,9,16,Involontaire,particulier,130.0,Basse
145,66186,70000.0,2013,Aug,10,13,Malveillance,NA,13.0,Basse
146,2B123,60000.0,2013,Aug,20,12,Malveillance,NA,61.0,Basse
147,2B350,557600.0,2013,Aug,20,11,Malveillance,NA,70.0,Basse
148,2B205,99200.0,2013,Aug,25,16,Involontaire,travaux,300.0,Basse
149,34323,65200.0,2013,Aug,27,18,Malveillance,NA,200.0,Basse
150,30033,146571.0,2013,Sep,1,10,Malveillance,NA,24.0,Basse
151,34147,78000.0,2013,Sep,1,16,Involontaire,particulier,93.0,Basse
152,2B337,230500.0,2013,Sep,4,14,Malveillance,NA,198.0,Basse
153,66205,190000.0,2013,Aug,24,17,Malveillance,NA,182.0,Basse
154,2B187,50000.0,2013,Sep,13,12,Malveillance,NA,140.0,Basse
155,2B143,80000.0,2013,Sep,14,18,Malveillance,NA,78.0,Basse
156,2B185,111400.0,2013,Sep,17,7,Malveillance,NA,54.0,Basse
157,2B298,50000.0,2013,Sep,17,7,Malveillance,NA,300.0,Basse
158,2B185,60000.0,2013,Sep,17,11,Malveillance,NA,54.0,Basse
159,34281,681500.0,2013,Sep,20,5,Malveillance,NA,38.0,Basse
160,7334,300000.0,2013,Sep,19,15,Involontaire,travaux,275.0,Basse
161,34026,220000.0,2013,Sep,19,18,Malveillance,NA,86.0,Basse
162,66145,70000.0,2013,Sep,20,3,Involontaire,particulier,80.0,Basse
163,11262,916000.0,2013,Sep,19,12,Accidentelle,NA,13.0,Basse
164,2B188,87000.0,2013,Oct,1,11,Malveillance,NA,54.0,Basse
165,2B287,560000.0,2013,Oct,4,10,Malveillance,NA,480.0,Basse
166,66016,50000.0,2013,Oct,9,10,Involontaire,travaux,72.0,Basse
167,2B167,60000.0,2013,Oct,11,16,Involontaire,particulier,450.0,Basse
168,66136,60000.0,2013,Oct,23,14,Malveillance,NA,42.0,Basse
169,13002,114000.0,2013,Oct,22,19,Malveillance,NA,143.0,Basse
170,2B049,384300.0,2013,Nov,3,12,Malveillance,NA,547.0,Basse
171,2B184,156900.0,2013,Nov,7,17,Involontaire,travaux,140.0,Basse
172,2B043,191200.0,2013,Nov,9,20,Accidentelle,NA,111.0,Basse
173,11269,51800.0,2013,Mar,15,10,Involontaire,particulier,31.0,Basse
174,34289,78400.0,2013,Nov,14,14,Malveillance,NA,40.0,Basse
175,34168,54000.0,2013,Nov,30,7,Malveillance,NA,122.0,Basse
176,6153,57500.0,2013,Dec,13,14,Malveillance,NA,1058.0,Haute
177,13065,63000.0,2013,Dec,6,18,Accidentelle,NA,12.0,Basse
178,2B188,70000.0,2013,Dec,31,14,Malveillance,NA,54.0,Basse
179,83140,110000.0,2013,Apr,13,14,Involontaire,particulier,300.0,Basse
180,4217,135600.0,2013,Mar,4,13,Involontaire,travaux,1070.0,Haute
181,66080,50000.0,2013,Apr,23,11,Involontaire,travaux,1330.0,Haute
182,65352,150000.0,2014,Mar,20,14,Involontaire,travaux,446.0,Basse
183,15251,60000.0,2014,Mar,20,17,Accidentelle,NA,1134.0,Haute
184,15149,60000.0,2014,Mar,20,19,Involontaire,travaux,930.0,Basse
185,41018,50000.0,2014,Sep,11,19,Malveillance,NA,73.0,Basse
186,33095,270000.0,2014,Aug,8,15,Naturelle,NA,96.0,Basse
187,33095,1000000.0,2014,Apr,23,16,Involontaire,particulier,96.0,Basse
188,33212,60000.0,2014,Mar,11,12,Involontaire,particulier,114.0,Basse
189,40046,105000.0,2014,Oct,2,14,Involontaire,travaux,35.0,Basse
190,40244,280000.0,2014,Jun,28,15,Involontaire,particulier,26.0,Basse
191,6074,700300.0,2014,Mar,17,10,Malveillance,NA,485.0,Basse
192,6082,172200.0,2014,Apr,9,13,Involontaire,particulier,630.0,Basse
193,30105,119728.0,2014,Apr,7,23,Malveillance,NA,1107.0,Haute
194,4097,52000.0,2014,Mar,18,14,Involontaire,travaux,920.0,Basse
195,66190,200000.0,2014,Feb,13,19,Involontaire,particulier,7.0,Basse
196,34061,105000.0,2014,Mar,30,12,Involontaire,travaux,140.0,Basse
197,34158,60000.0,2014,Mar,15,8,Malveillance,NA,372.0,Basse
198,34045,81600.0,2014,Apr,29,12,Involontaire,particulier,200.0,Basse
199,30091,294471.0,2014,May,13,14,Malveillance,NA,41.0,Basse
200,34170,92000.0,2014,Feb,23,14,Involontaire,particulier,31.0,Basse
201,11296,50714.0,2014,May,30,12,Involontaire,particulier,80.0,Basse
202,2B030,196367.0,2014,May,24,16,Malveillance,NA,354.0,Basse
203,2B183,305959.0,2014,Jun,4,13,Malveillance,NA,140.0,Basse
204,66190,60000.0,2014,Jun,14,16,Involontaire,particulier,7.0,Basse
205,2B034,184082.0,2014,Jun,20,16,Involontaire,travaux,844.0,Basse
206,11351,57902.0,2014,Jun,29,14,Involontaire,particulier,185.0,Basse
207,2B314,683810.0,2014,Jul,3,15,Involontaire,travaux,480.0,Basse
