id,code_INSEE,surface_parcourue_m2,Tens_vap_med
223,2B283,304678.0,12.6
224,34302,195800.0,12.7
225,34116,70000.0,10.9
226,34074,230000.0,11.1
227,2B123,847798.0,12.6
228,11260,50700.0,10.5
229,34313,52000.0,11.4
230,2A048,61000.0,11.8
231,2A139,930000.0,12.2
232,2B079,174142.0,11.4
233,66108,200000.0,10.95
234,34226,130000.0,11.0
235,2A254,160000.0,9.45
236,2A004,109000.0,12.9
237,2B049,69664.0,11.9
238,2B287,98454.0,8.9
239,7210,300000.0,9.6
240,34225,58000.0,11.1
241,66072,100000.0,7.15
242,6132,78900.0,10.5
243,6013,77400.0,7.9
244,48172,172000.0,9.2
245,34045,75000.0,11.0
246,34190,77800.0,12.7
247,12094,60000.0,9.65
248,12226,50000.0,9.65
249,39086,50000.0,9.5
250,81004,110000.0,11.1
251,79280,208000.0,11.0
252,73019,190000.0,5.0
253,54305,120000.0,9.6
254,54490,270000.0,9.4
255,79168,140300.0,11.25
256,45092,110000.0,10.7
257,35152,60000.0,11.2
258,3004,281000.0,11.1
259,73211,150000.0,6.2
260,97417,164000.0,21.6
261,45032,310000.0,10.7
262,3006,50000.0,11.1
263,3217,91300.0,10.5
264,33300,190000.0,12.0
265,33422,67000.0,11.9
266,33238,70000.0,12.1
267,33229,50000.0,11.85
268,33104,680000.0,12.05
269,40332,90000.0,12.5
270,40167,220000.0,12.1
271,40149,58000.0,11.0
272,41043,70000.0,11.6
273,41130,110000.0,11.5
274,41186,50000.0,11.3
275,41087,80000.0,11.9
276,42326,230000.0,8.15
277,2B123,103518.0,12.6
278,11170,105836.0,12.1
279,2B320,322164.0,13.3
280,34286,184500.0,10.7
281,34319,710000.0,11.0
282,2B185,230000.0,12.3
283,2B201,62321.0,13.3
284,7323,151000.0,11.4
285,11315,85400.0,11.2
286,11386,54934.0,10.5
287,2B143,100350.0,13.3
288,11009,163000.0,11.4
289,7258,50000.0,8.3
290,84129,250000.0,11.2
291,2B079,125400.0,11.4
292,11259,299200.0,11.4
293,2B059,52292.0,11.4
294,26318,60000.0,9.3
295,34103,86200.0,11.0
296,34003,70000.0,12.9
297,34019,60150.0,10.5
298,34181,92500.0,11.0
299,2B095,113588.0,9.2
300,2B290,488130.0,12.6
301,2B185,78800.0,12.3
302,2B361,322405.0,11.9
303,34237,78000.0,11.0
304,30231,934600.0,8.5
305,48122,56500.0,8.8
306,48074,161000.0,8.9
307,34242,590000.0,10.9
308,83061,167300.0,10.35
309,66076,50000.0,10.8
310,66205,80000.0,10.5
311,66215,350000.0,10.25
312,66058,270000.0,10.95
313,66136,50000.0,11.4
314,66205,60000.0,10.5
315,84147,70000.0,10.7
316,2B080,56360.0,10.9
317,34302,185000.0,12.7
318,66030,82600.0,10.95
319,13005,92700.0,11.2
320,2A038,50400.0,12.4
321,66215,200000.0,10.25
322,34020,61000.0,12.7
323,2B341,480000.0,9.7
324,66008,141500.0,12.3
325,11198,58800.0,11.2
326,11022,250700.0,12.7
327,66127,80000.0,11.5
328,2B355,194784.0,12.8
329,11016,187100.0,11.7
330,66014,80000.0,11.4
331,30009,90800.0,9.55
332,30009,61500.0,9.55
333,2B096,115000.0,4.9
334,11018,52900.0,11.4
335,6162,217500.0,9.1
336,11285,55873.0,12.1
337,11276,50802.0,10.5
338,34339,121500.0,11.0
339,7112,380000.0,9.6
340,2A031,339000.0,9.4
341,48116,648000.0,8.8
342,48022,138000.0,8.8
343,4194,204800.0,10.1
344,6074,178700.0,7.8
345,6103,387400.0,7.9
346,7286,300000.0,9.15
347,2B337,53361.0,11.4
348,6074,73100.0,7.8
349,6074,82100.0,7.8
350,6132,89200.0,10.5
351,6023,59500.0,10.5
352,6103,102300.0,7.9
353,26113,73000.0,9.9
354,12163,200000.0,9.3
355,12082,70000.0,9.55
356,12076,50000.0,9.65
357,46183,220000.0,10.4
358,18219,93300.0,10.9
359,81066,800000.0,10.05
360,58081,80000.0,10.7
361,17038,104100.0,11.4
362,17074,52600.0,11.8
363,17110,220000.0,11.4
364,47234,50050.0,11.6
365,33273,80000.0,11.9
366,2B183,60000.0,12.55
367,2B281,200000.0,12.95
368,2B109,50000.0,13.3
369,6142,107161.0,9.6
370,48166,104100.0,8.8
371,48194,151100.0,8.5
372,84034,200000.0,10.8
373,6098,60324.0,10.1
374,6074,131743.0,7.8
375,2B159,83700.0,12.55
376,2B313,90000.0,13.3
377,34103,140300.0,11.0
378,34004,142600.0,11.0
379,7202,200000.0,9.7
380,6074,62601.0,7.8
381,34166,425000.0,11.8
382,11198,140300.0,11.2
383,2B096,248000.0,4.9
384,66143,600000.0,10.85
385,66030,50000.0,10.95
386,66030,200000.0,10.95
387,66140,150000.0,10.95
388,11308,144520.0,11.4
389,11273,185068.0,12.7
390,11099,829689.0,11.4
391,83069,73000.0,13.15
392,83064,75000.0,12.1
393,2B143,80000.0,13.3
394,13026,1000000.0,11.4
395,13056,460000.0,12.4
396,34032,87000.0,11.8
397,34225,51500.0,11.1
398,2B355,464200.0,12.8
399,66180,100000.0,12.1
400,66071,150000.0,10.95
401,11144,121304.0,12.5
402,48004,229000.0,8.5
403,11262,324079.0,12.1
404,34145,51700.0,12.3
405,34163,127500.0,10.8
406,11390,102861.0,11.8
407,2B320,51000.0,13.3
408,34148,101700.0,11.1
409,2B009,66000.0,13.3
410,2B185,97300.0,12.3
411,66106,400000.0,11.0
412,30181,52692.0,11.1
413,30141,102268.0,11.1
414,11162,74533.0,11.9
415,34285,287500.0,11.4
416,11022,90908.0,12.7
417,66164,500000.0,11.4
418,66205,331900.0,10.5
419,66212,150000.0,12.1
420,66008,50000.0,12.3
421,11148,211482.0,11.8
422,11361,52980.0,11.9
423,2B251,399600.0,12.6
424,13001,414600.0,10.85
425,66030,90000.0,10.95
426,13056,57600.0,12.4
427,13118,50900.0,10.8
428,13097,166400.0,11.1
429,2B105,80000.0,10.9
430,2B238,340039.0,10.9
431,2B009,88000.0,13.3
432,2B096,784900.0,4.9
433,2B148,100135.0,12.8
434,2B116,263500.0,10.9
435,84030,80000.0,10.6
436,2B148,53500.0,12.8
437,34073,67600.0,11.8
438,11286,263087.0,11.2
439,11410,107055.0,11.2
440,66030,80000.0,10.95
441,34291,230800.0,9.3
442,2B299,300000.0,12.8
