id,code_INSEE,nature_inc_prim,tmax_med
751,2A272,Accidentelle,19.8
752,66134,Malveillance,19.2
753,66212,Malveillance,19.3
754,66182,Malveillance,19.3
755,34210,Accidentelle,20.6
756,66205,Malveillance,17.65
757,84089,Accidentelle,19.9
758,4144,Involontaire,19.3
759,34281,Malveillance,19.7
760,66145,Malveillance,19.2
761,66008,Malveillance,17.95
762,66227,Malveillance,19.45
763,66168,Malveillance,20.9
764,66108,Involontaire,19.5
765,66224,Malveillance,19.3
766,7098,Involontaire,15.1
767,2B281,Malveillance,18.7
768,66088,Involontaire,20.1
769,66016,Malveillance,17.95
770,6070,Involontaire,12.4
771,34165,Malveillance,19.3
772,4204,Involontaire,23.65
773,6074,Malveillance,19.8
774,6153,Malveillance,4.1
775,7121,Malveillance,10.5
776,48198,Involontaire,15.9
777,48015,Involontaire,15.9
778,48061,Involontaire,14.35
779,48166,Involontaire,14.35
780,48162,Involontaire,14.35
781,43246,Involontaire,17.25
782,82131,Accidentelle,25.4
783,2305,Accidentelle,15.9
784,82187,Accidentelle,19.4
785,89021,Malveillance,15.9
786,58107,Involontaire,16.2
787,46072,Involontaire,17.6
788,43156,Accidentelle,9.2
789,58270,Involontaire,15.6
790,89044,Accidentelle,16.2
791,89419,Involontaire,16.45
792,3217,Malveillance,16.8
793,3155,Accidentelle,16.7
794,45315,Involontaire,17.65
795,45098,Involontaire,15.7
796,77186,Involontaire,16.7
797,87064,Accidentelle,15.7
798,97408,Accidentelle,23.9
799,31581,Malveillance,12.4
800,79246,Accidentelle,18.4
801,79154,Involontaire,17.8
802,15038,Involontaire,14.8
803,15250,Involontaire,14.8
804,24485,Accidentelle,17.5
805,24294,Malveillance,17.8
806,64067,Involontaire,20.4
807,64223,Involontaire,14.3
808,64559,Malveillance,21.4
809,40296,Involontaire,20.35
810,40319,Accidentelle,20.3
811,40006,Naturelle,19.6
812,40060,Naturelle,18.45
813,33029,Naturelle,17.2
814,33202,Accidentelle,20.15
815,33202,Accidentelle,20.15
816,33029,Accidentelle,17.2
817,33233,Accidentelle,18.6
818,33202,Malveillance,20.15
819,48098,Involontaire,12.9
820,2B315,Malveillance,20.0
821,2B002,Malveillance,18.4
822,30089,Accidentelle,20.2
823,34143,Involontaire,17.9
824,34197,Malveillance,20.85
825,2B079,Malveillance,18.3
826,13077,Involontaire,19.4
827,34226,Accidentelle,20.5
828,26200,Malveillance,15.95
829,2B242,Malveillance,20.75
830,6130,Accidentelle,16.6
831,6070,Accidentelle,12.4
832,7315,Involontaire,16.0
833,2B112,Malveillance,19.0
834,34016,Malveillance,19.7
835,2B224,Malveillance,18.95
836,4094,Involontaire,18.3
837,4199,Accidentelle,20.0
838,2B145,Malveillance,20.75
839,2B192,Accidentelle,18.3
840,66119,Involontaire,16.15
841,34032,Malveillance,19.5
842,5055,Naturelle,16.5
843,4070,Malveillance,18.5
844,66069,Malveillance,19.45
845,30129,Malveillance,19.2
846,30169,Malveillance,19.3
847,30339,Involontaire,17.8
848,2A004,Malveillance,21.5
849,2A017,Involontaire,21.5
850,83003,Involontaire,16.1
851,2A031,Involontaire,16.5
852,2B275,Malveillance,17.05
853,34147,Malveillance,19.6
854,30017,Involontaire,16.6
855,13081,Involontaire,20.5
856,13077,Malveillance,19.4
857,13118,Involontaire,19.6
858,13005,Involontaire,20.7
859,13117,Involontaire,19.4
860,34232,Involontaire,18.9
861,48119,Accidentelle,14.1
862,30339,Involontaire,17.8
863,2B051,Malveillance,17.05
864,7115,Involontaire,19.75
865,13033,Involontaire,19.4
866,4170,Involontaire,20.0
867,4013,Accidentelle,18.3
868,66017,Malveillance,19.3
869,66172,Involontaire,19.45
870,66071,Malveillance,19.5
871,66093,Malveillance,19.3
872,66176,Involontaire,19.3
873,66049,Accidentelle,20.6
874,66030,Malveillance,19.5
875,66015,Malveillance,20.9
876,2B063,Malveillance,20.75
877,34061,Malveillance,19.6
878,2A323,Malveillance,19.0
879,48116,Malveillance,13.55
880,48178,Involontaire,24.2
881,6103,Malveillance,17.6
882,6103,Malveillance,17.6
883,17240,Involontaire,17.9
884,97415,Malveillance,20.0
885,87150,Accidentelle,17.0
886,97415,Malveillance,20.0
887,89368,Involontaire,15.6
888,63006,Involontaire,11.9
889,63006,Involontaire,11.9
890,12094,Accidentelle,18.9
891,12155,Involontaire,15.3
892,40184,Involontaire,18.1
893,33436,Malveillance,19.0
894,33376,Accidentelle,19.4
895,34214,Involontaire,19.7
896,34040,Involontaire,19.6
897,34341,Involontaire,17.9
898,2B355,Malveillance,18.3
899,34092,Malveillance,20.5
900,6163,Involontaire,19.1
901,48075,Involontaire,6.5
902,48168,Involontaire,20.2
903,48119,Malveillance,14.1
904,7251,Involontaire,18.2
905,84079,Involontaire,16.3
906,7187,Involontaire,14.9
907,5077,Involontaire,3.5
908,2B355,Malveillance,18.3
909,2B213,Malveillance,18.4
910,34135,Involontaire,19.5
